season,year,round,race_name,driver,driverId,constructor,grid_position,finishing_position,points,num_pit_stops,avg_lap_time,avg_tyre_life,track_temp_mid,air_temp_mid,humidity_mid,rainfall_mid,qualiPosition,Q1_time,Q2_time,Q3_time,laps_total,laps_count,lapTime_mean_sec,lapTime_best_sec,lapTime_std_sec,pit_stop_count,pit_total_duration_sec,pit_avg_duration_sec,pit_min_duration_sec,pit_first_lap,pit_last_lap,weather_hours,weather_airTemp_mean,weather_airTemp_min,weather_airTemp_max,weather_humidity_mean,weather_precip_total,weather_pressure_mean,weather_wind_mean,Driver.code,session_type,made_Q2,made_Q3,eliminated_in_Q1,eliminated_in_Q2,eliminated_in_Q3,qualifying_round_reached,pitted,multi_stop,one_stop
2024,2024,1,Bahrain Grand Prix,ALB,albon,Williams,13,15,0,2,97.65675,28.0,23.5,18.2,50,False,13.0,1:30.397,1:30.221,,5.0,5.0,99.6304,98.422,2.385058343,2.0,49.291,24.6455,24.61,15.0,36.0,24.0,16.76666667,12.8,21.3,54.66666667,0.0,1018.654167,10.6625,ALB,race,True,False,False,True,False,2,True,True,False
2024,2024,1,Bahrain Grand Prix,HUL,hulkenberg,Haas F1 Team,10,16,0,3,96.85468,18.66666667,23.5,18.2,50,False,10.0,1:30.566,1:29.851,1:30.502,5.0,5.0,107.359,97.317,14.90085065,3.0,85.759,28.58633333,24.387,1.0,41.0,24.0,16.76666667,12.8,21.3,54.66666667,0.0,1018.654167,10.6625,HUL,race,True,True,False,False,True,3,True,True,False
2024,2024,1,Bahrain Grand Prix,OCO,ocon,Alpine,19,17,0,2,97.980846,28.0,23.5,18.2,50,False,19.0,1:30.793,,,5.0,5.0,100.3574,98.625,3.52663002,2.0,50.022,25.011,24.877,10.0,30.0,24.0,16.76666667,12.8,21.3,54.66666667,0.0,1018.654167,10.6625,OCO,race,False,False,True,False,False,1,True,True,False
2024,2024,1,Bahrain Grand Prix,GAS,gasly,Alpine,20,18,0,3,97.50328,18.66666667,23.5,18.2,50,False,20.0,1:30.948,,,5.0,5.0,100.442,98.503,3.805578208,3.0,81.682,27.22733333,25.24,12.0,43.0,24.0,16.76666667,12.8,21.3,54.66666667,0.0,1018.654167,10.6625,GAS,race,False,False,True,False,False,1,True,True,False
2024,2024,1,Bahrain Grand Prix,BOT,bottas,Kick Sauber,16,19,0,2,97.927461,28.0,23.5,18.2,50,False,16.0,1:30.756,,,5.0,5.0,100.8724,98.259,4.338506517,2.0,26.42,26.42,26.42,12.0,30.0,24.0,16.76666667,12.8,21.3,54.66666667,0.0,1018.654167,10.6625,BOT,race,False,False,True,False,False,1,True,True,False
2024,2024,1,Bahrain Grand Prix,SAR,sargeant,Williams,18,20,0,3,97.735183,18.33333333,23.5,18.2,50,False,18.0,1:30.770,,,5.0,5.0,100.0512,98.39,3.284870348,3.0,86.145,28.715,25.07,10.0,40.0,24.0,16.76666667,12.8,21.3,54.66666667,0.0,1018.654167,10.6625,SAR,race,False,False,True,False,False,1,True,True,False
2024,2024,2,Saudi Arabian Grand Prix,VER,max_verstappen,Red Bull Racing,1,1,25,1,92.984595,25.0,31.5,25.7,61,False,1.0,1:28.171,1:28.033,1:27.472,6.0,6.0,94.18966667,93.676,0.6723950228,1.0,20.607,20.607,20.607,7.0,7.0,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,VER,race,True,True,False,False,True,3,True,False,True
2024,2024,2,Saudi Arabian Grand Prix,PER,perez,Red Bull Racing,3,2,18,1,93.213531,25.0,31.5,25.7,61,False,3.0,1:28.638,1:28.467,1:27.807,6.0,6.0,94.6275,93.842,1.29006213,1.0,22.196,22.196,22.196,7.0,7.0,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,PER,race,True,True,False,False,True,3,True,False,True
2024,2024,2,Saudi Arabian Grand Prix,LEC,leclerc,Ferrari,2,3,16,1,93.447382,25.0,31.5,25.7,61,False,2.0,1:28.318,1:28.112,1:27.791,6.0,6.0,94.87466667,94.179,0.959977222,1.0,23.419,23.419,23.419,7.0,7.0,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,LEC,race,True,True,False,False,True,3,True,False,True
2024,2024,2,Saudi Arabian Grand Prix,PIA,piastri,McLaren,5,4,12,1,93.782744,25.0,31.5,25.7,61,False,5.0,1:28.755,1:28.343,1:28.089,6.0,6.0,95.28683333,94.379,1.693528909,1.0,21.427,21.427,21.427,7.0,7.0,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,PIA,race,True,True,False,False,True,3,True,False,True
