season,year,round,race_name,driver,driverId,constructor,grid_position,finishing_position,points,num_pit_stops,avg_lap_time,avg_tyre_life,track_temp_mid,air_temp_mid,humidity_mid,rainfall_mid,qualiPosition,Q1_time,Q2_time,Q3_time,laps_total,laps_count,lapTime_mean_sec,lapTime_best_sec,lapTime_std_sec,pit_stop_count,pit_total_duration_sec,pit_avg_duration_sec,pit_min_duration_sec,pit_first_lap,pit_last_lap,weather_hours,weather_airTemp_mean,weather_airTemp_min,weather_airTemp_max,weather_humidity_mean,weather_precip_total,weather_pressure_mean,weather_wind_mean,Driver.code
2025,2025,1,Australian Grand Prix,STR,stroll,Aston Martin,13.0,6.0,8.0,5,103.372755,19.0,19.1,15.9,76.0,False,13.0,1:16.369,1:16.483,,6.0,6.0,151.52616666666668,139.485,13.172455904905004,5.0,83.673,16.7346,14.451,2.0,44.0,24.0,14.920833333333334,12.4,20.3,68.95833333333333,13.1,1016.5666666666666,22.975,STR
2025,2025,1,Australian Grand Prix,HUL,hulkenberg,Kick Sauber,17.0,7.0,6.0,5,103.324244,19.0,19.1,15.9,76.0,False,17.0,1:16.579,,,6.0,6.0,151.69133333333335,139.058,13.14240295633438,5.0,86.631,17.3262,14.198,2.0,44.0,24.0,14.920833333333334,12.4,20.3,68.95833333333333,13.1,1016.5666666666666,22.975,HUL
2025,2025,1,Australian Grand Prix,LEC,leclerc,Ferrari,7.0,8.0,4.0,5,101.81753,19.0,19.1,15.9,76.0,False,7.0,1:16.029,1:15.827,1:15.755,6.0,6.0,149.18716666666668,128.48,14.945250314620589,5.0,85.614,17.1228,14.129,2.0,47.0,24.0,14.920833333333334,12.4,20.3,68.95833333333333,13.1,1016.5666666666666,22.975,LEC
2025,2025,1,Australian Grand Prix,PIA,piastri,McLaren,2.0,9.0,2.0,5,100.338479,19.0,19.1,15.9,76.0,False,2.0,1:16.062,1:15.468,1:15.180,6.0,6.0,148.56833333333336,120.807,17.63808441602054,5.0,79.301,15.8602,12.816,2.0,44.0,24.0,14.920833333333334,12.4,20.3,68.95833333333333,13.1,1016.5666666666666,22.975,PIA
2025,2025,1,Australian Grand Prix,HAM,hamilton,Ferrari,8.0,10.0,1.0,5,101.875632,19.0,19.1,15.9,76.0,False,8.0,1:16.213,1:15.919,1:15.973,6.0,6.0,150.48233333333334,132.883,14.526169194480236,5.0,85.31,17.062,14.789,2.0,47.0,24.0,14.920833333333334,12.4,20.3,68.95833333333333,13.1,1016.5666666666666,22.975,HAM
2025,2025,1,Australian Grand Prix,GAS,gasly,Alpine,9.0,11.0,0.0,5,102.520346,19.0,19.1,15.9,76.0,False,9.0,1:16.328,1:16.112,1:15.980,6.0,6.0,150.70583333333335,134.132,14.599964444020632,5.0,84.62899999999999,16.9258,14.71,2.0,46.0,24.0,14.920833333333334,12.4,20.3,68.95833333333333,13.1,1016.5666666666666,22.975,GAS
2025,2025,1,Australian Grand Prix,TSU,tsunoda,Racing Bulls,5.0,12.0,0.0,5,102.068428,19.0,19.1,15.9,76.0,False,5.0,1:16.225,1:16.009,1:15.670,6.0,6.0,149.63516666666666,130.655,14.732932042423412,5.0,82.09400000000001,16.4188,13.605,2.0,47.0,24.0,14.920833333333334,12.4,20.3,68.95833333333333,13.1,1016.5666666666666,22.975,TSU
2025,2025,1,Australian Grand Prix,OCO,ocon,Haas F1 Team,19.0,13.0,0.0,5,101.630125,19.0,19.1,15.9,76.0,False,19.0,1:17.147,,,6.0,6.0,152.41083333333333,130.528,15.59478183773876,5.0,89.157,17.8314,14.395,2.0,46.0,24.0,14.920833333333334,12.4,20.3,68.95833333333333,13.1,1016.5666666666666,22.975,OCO
2025,2025,1,Australian Grand Prix,BEA,bearman,Haas F1 Team,20.0,14.0,0.0,5,101.303255,19.0,19.1,15.9,76.0,False,20.0,,,,5.0,5.0,155.1492,125.412,18.36226423129784,5.0,95.257,19.0514,14.605,2.0,44.0,24.0,14.920833333333334,12.4,20.3,68.95833333333333,13.1,1016.5666666666666,22.975,BEA
2025,2025,1,Australian Grand Prix,LAW,lawson,Red Bull Racing,18.0,15.0,0.0,4,98.444763,23.5,19.1,15.9,76.0,False,18.0,1:17.094,,,5.0,5.0,155.0242,131.293,15.337886725360825,4.0,70.04599999999999,17.511499999999998,14.79,2.0,33.0,24.0,14.920833333333334,12.4,20.3,68.95833333333333,13.1,1016.5666666666666,22.975,LAW
2025,2025,1,Australian Grand Prix,BOR,bortoleto,Kick Sauber,15.0,16.0,0.0,5,100.190166,15.333333333333334,19.1,15.9,76.0,False,15.0,1:16.516,1:17.520,,6.0,6.0,152.161,138.316,13.138103607446547,5.0,95.288,19.0576,14.206,2.0,44.0,24.0,14.920833333333334,12.4,20.3,68.95833333333333,13.1,1016.5666666666666,22.975,BOR
2025,2025,1,Australian Grand Prix,ALO,alonso,Aston Martin,12.0,17.0,0.0,3,96.957964,33.0,19.1,15.9,76.0,False,12.0,1:16.288,1:16.453,,6.0,6.0,151.05183333333335,137.178,13.462579981811311,3.0,46.81,15.603333333333333,15.034,2.0,4.0,24.0,14.920833333333334,12.4,20.3,68.95833333333333,13.1,1016.5666666666666,22.975,ALO
2025,2025,1,Australian Grand Prix,SAI,sainz,Williams,10.0,18.0,0.0,0,,1.0,19.1,15.9,76.0,False,10.0,1:16.360,1:15.931,1:16.062,,,,,,,,,,,,24.0,14.920833333333334,12.4,20.3,68.95833333333333,13.1,1016.5666666666666,22.975,SAI
2025,2025,1,Australian Grand Prix,DOO,doohan,Alpine,14.0,19.0,0.0,0,,1.0,19.1,15.9,76.0,False,14.0,1:16.315,1:16.863,,,,,,,,,,,,,24.0,14.920833333333334,12.4,20.3,68.95833333333333,13.1,1016.5666666666666,22.975,DOO
2025,2025,1,Australian Grand Prix,HAD,hadjar,Racing Bulls,11.0,20.0,0.0,0,,1.0,19.1,15.9,76.0,False,11.0,1:16.354,1:16.175,,,,,,,,,,,,,24.0,14.920833333333334,12.4,20.3,68.95833333333333,13.1,1016.5666666666666,22.975,HAD
2025,2025,2,Chinese Grand Prix,PIA,piastri,McLaren,1.0,1.0,25.0,1,96.942037,28.0,34.6,27.6,17.0,False,1.0,1:31.591,1:31.200,1:30.641,6.0,6.0,97.83483333333334,97.539,0.3195743523292541,1.0,23.938,23.938,23.938,14.0,14.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,PIA
2025,2025,2,Chinese Grand Prix,NOR,norris,McLaren,3.0,2.0,18.0,1,97.145333,28.0,34.6,27.6,17.0,False,3.0,1:30.983,1:30.787,1:30.793,5.0,5.0,98.0428,97.59700000000001,0.6944949243875016,1.0,22.213,22.213,22.213,15.0,15.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,NOR
2025,2025,2,Chinese Grand Prix,RUS,russell,Mercedes,2.0,3.0,15.0,1,97.200759,28.0,34.6,27.6,17.0,False,2.0,1:31.295,1:31.307,1:30.723,5.0,5.0,98.1966,97.463,1.1740103491877756,1.0,22.324,22.324,22.324,14.0,14.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,RUS
2025,2025,2,Chinese Grand Prix,VER,max_verstappen,Red Bull Racing,4.0,4.0,12.0,1,97.292962,28.0,34.6,27.6,17.0,False,4.0,1:31.424,1:31.142,1:30.817,5.0,5.0,99.2728,98.30199999999999,1.681929160220486,1.0,22.454,22.454,22.454,13.0,13.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,VER
2025,2025,2,Chinese Grand Prix,OCO,ocon,Haas F1 Team,11.0,5.0,10.0,1,97.885462,28.0,34.6,27.6,17.0,False,11.0,1:31.876,1:31.625,,5.0,5.0,100.1624,98.906,2.611192696834156,1.0,23.114,23.114,23.114,11.0,11.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,OCO
2025,2025,2,Chinese Grand Prix,ANT,antonelli,Mercedes,8.0,6.0,8.0,1,97.916592,28.0,34.6,27.6,17.0,False,8.0,1:31.676,1:31.590,1:31.103,5.0,5.0,99.4958,98.34700000000001,1.9736120946123161,1.0,22.675,22.675,22.675,12.0,12.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,ANT
2025,2025,2,Chinese Grand Prix,ALB,albon,Williams,10.0,7.0,6.0,1,97.935,28.0,34.6,27.6,17.0,False,10.0,1:31.503,1:31.595,1:31.706,5.0,5.0,100.28059999999999,98.54599999999999,2.809108096887702,1.0,23.362,23.362,23.362,20.0,20.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,ALB
2025,2025,2,Chinese Grand Prix,BEA,bearman,Haas F1 Team,17.0,8.0,4.0,1,98.104629,28.0,34.6,27.6,17.0,False,17.0,1:32.018,,,5.0,5.0,101.11179999999999,99.05799999999999,3.6977504918531143,1.0,22.808,22.808,22.808,26.0,26.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,BEA
2025,2025,2,Chinese Grand Prix,STR,stroll,Aston Martin,14.0,9.0,2.0,1,98.30187,28.0,34.6,27.6,17.0,False,14.0,1:31.923,1:31.773,,5.0,5.0,100.61699999999999,98.655,3.396841989260027,1.0,22.995,22.995,22.995,36.0,36.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,STR
2025,2025,2,Chinese Grand Prix,SAI,sainz,Williams,15.0,10.0,1.0,1,98.331796,28.0,34.6,27.6,17.0,False,15.0,1:31.628,1:31.840,,5.0,5.0,100.77520000000001,98.787,3.6746082376220737,1.0,22.721,22.721,22.721,17.0,17.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,SAI
2025,2025,2,Chinese Grand Prix,HAD,hadjar,Racing Bulls,7.0,11.0,0.0,2,98.015038,28.0,34.6,27.6,17.0,False,7.0,1:31.162,1:31.253,1:31.079,5.0,5.0,100.0296,98.74600000000001,2.3368888077955283,2.0,45.13,22.565,22.234,12.0,33.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,HAD
2025,2025,2,Chinese Grand Prix,LAW,lawson,Red Bull Racing,20.0,12.0,0.0,2,97.823666,18.666666666666668,34.6,27.6,17.0,False,20.0,1:32.174,,,5.0,5.0,101.42960000000001,99.22800000000001,4.1962372192238995,2.0,44.891000000000005,22.445500000000003,22.355,18.0,30.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,LAW
2025,2025,2,Chinese Grand Prix,DOO,doohan,Alpine,18.0,13.0,0.0,1,98.410333,28.0,34.6,27.6,17.0,False,18.0,1:32.092,,,5.0,5.0,101.2334,99.179,3.7430900737225112,1.0,22.793,22.793,22.793,11.0,11.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,DOO
